,asin,overall,vote,Category,cleanText
0,B00006JPEA,5,4,Electronics,simple item work expect run cable reg antenna work great would recommend
1,B007VH2WPQ,5,,Video_Games,use rehouse couple old controller whose battery housing crack flimsy shell want something would shatter piece drop knock material seem quite nice unlike old white xbox accessory less likely deteriorate age sure byo contact screw often usable condition bar excessive abuse
2,B0039PPW60,5,3,Musical_Instruments,great use different behringer rotary knob mobile setup happy switch slider big board slider always miss go gig small one far unit top notch someone else mention main level led seem bit odd set level fine pfl show level solo match old board solo barely register however level correct downstream gear think get input go led would fine get around run solo mode gig love xlr output small board need xlr adapter also effect sound great get 2 monitor channel borrow one effect great value mid size mixer
3,B007XA49BG,5,,Grocery_and_Gourmet_Food,happy mixes well baking shake tea coffee fresh product last
4,6302206294,5,,Movies_and_TV,first dvd ever buy original copy wear buy new one great movie
5,B00008ZLHG,5,,Electronics,little guy super convenient show others music work listen laptop sturdy loss quality small enough leave bag use whenever wherever lose db side expect splitter turn volume pinch single listen compensate problem
6,B0009RF9DW,5,,All_Beauty,smell good worth price definitely buy
7,B00H7KTRO6,5,,Industrial_and_Scientific,love thing thanks
8,B01C81DTQA,5,47,CDs_and_Vinyl,ah budgie big humble pie sabbath purple criminally wale fine power trio yet today elicit much affection four decade ago hugely seminal influence like metallica soundgarden even van halen cover tune pride christmas 1972 old markipoos lp pressy wait beneath festooned tree second album squawk dolphin disc record bag love welsh power trio 45 year dinky remaster box set feature 3 5 album mca record 70ts send one much love let get original grunge rocker first uk release friday 2 june 2016 10 june 2016 usa mca year budgie mca umc 5363393 barcode 600753633939 3cd hard card slipcase mini box set new 2016 remasters bonus track play follow disc 1 never turn back friend minute breadfan2 baby please go3 know always love you4 big thing since powder milk5 grip tyrefitter hand side 2 6 hide nightmare7 parentstracks 1 7 3rd studio album never turn back friend release june 1973 uk mca record mdks 8010 reissue mca record mcg 3513 1974 disc 2 kill minute kill2 crash course brain surgery3 wonder everyone knows4 zoom club5 hammer tongs side 2 6 run soul7 live owntracks 1 7 4th studio album kill release june 1974 uk mca record mcf 2546 usa mca record mca 429disc 3 bandolier minute break house rules2 slipaway3 want love 4 ca see feelings5 ai mountain6 napoleon bona part 17 napoleon bona part 2tracks 1 7 5th last studio album mca record bandolier release september 1975 uk mca record mcf 2723 usa mca record mca 4618the first thing fan notice 2 3 bonus track come 2004 singular remasters album awol damn shame good b plenty room honey ai mountain uk u 7 single would perfect addition example upside never turn back friend lp always gatefold roger dean artwork cover live shot band lyric inner gatefold reproduce rather tasty oversized card sleeve kill bandolier original lps come single sleeve give gatefold promo photo band inside cd also colour cod spacesuit logo writer music historian malcolm dome excellent liner note inside colourful booklet reference producer roger bain sabbath connection much define grungy hard rock sound july 1971 debut budgie september 1972 squawk nod british dj jensen get behind first album pirate radio thereby give budgie career follow europe 7 picture sleeves rare foreign issue single crash course brain surgery zoom club trade advert ai mountain 45 well comment key band member like bourke shelley tribute uberfans dave mustaine megadeath lars ulrich really great news audio absolutely rock like proverbial mother f word andy pearce revisit original mastertapes great job 2012 rory gallagher reissue cd trounce 1991 2004 version year transfer loud ballsy loud sake track play really hear guitar chunky bass drum whack properly rocking stuff like slide genius breadfan sweet ballad wonder everyone know sheer riffage brilliant break house rule sound genuinely great make everything feel new audio mind album suddenly feel far good remember every budgie fan love never turn back blistering cover big joe williams r b hit baby please go hard rock grip tyrefitter hand suddenly swirl acoustic guitar pretty ballad rid nightmare seem huge doomy guitar parent part minute slow acoustic guitar bass echoed lead remaster always felt kill show band go slightly boil even though first chart britain 29 real muscle chug kill sound right dirty mean bear give nice 1971 single crash course brain surgery supposedly give slight remix 1974 album version buggered actually hear difference roger bain produce original great tune though drum ray phillips replace phil boot kill hear finisher living deceptively complex tune guitarist tony bourge stretch bourke shelley give best strangulate geddy lee big winner bandolier album completely forget opening break house rule minute fabulous rock n roll riffage budgie sound like scott robertson thin lizzy tightest expressive best audio brilliant treated acoustic ballad slipaway gorgeously reproduce strangely funky want love manage hard rock version andy ai mountain 1974 album spider jivin near budgie get commercial sound little like nazareth search top ten hit napoleon bona close prog rock remaster elevate everything hear metallica get sound guitar riff like goodun towards end part would five iconic mca lps include first two masterpiece 1971 1972 offer incredible value money great reminder budgie still engenders affection amongst age rocker like whilst draw metal newcomer christmas come early even good packaging time
9,B0000A1ZN0,4,,Home_and_Kitchen,put bread warm toast month problem
10,B0045E7PC8,4,,Automotive,miracle product seem good
11,B000000ISI,5,,CDs_and_Vinyl,work classic late 60 experimental
12,B006CV7EY6,4,,Sports_and_Outdoors,fit well fan need slip like pair pant instead open strap back
13,B00INL0BTS,5,,Industrial_and_Scientific,simply best set feel super solid ip57 rating really nice good feel accurate come calibration need good set caliper machinist good enough
14,B00B8IWJWU,5,2,Toys_and_Games,excellent quality build functionality strong base excellent support figuarts large figure like marvel legend
15,B001IKJOLW,5,,AMAZON_FASHION,second pair shoe love fit provide support walk like way shoe fit around ankle many shoe uncomfortable come high back try
16,B000HCJX2C,5,,Pet_Supplies,buy use cat know say dog ad work great patient cat lot hair pull cat mat free within ten minute 22 ca clean lot
17,B0006VSGW2,5,,Pet_Supplies,great job pet nail
18,6300166651,5,5,Movies_and_TV,ah monster club crazy little masterpiece one favorite movie sort combination horror show treat three unusual short story good different tone one another one sandwich musical number early eighty british new wave gentlemanly vampire name eramus one vincent price realize man attack fact favorite writer john carradine attempt amend situation bring special guest nightclub human monster allow course evening carradine tell trio frighten tale together music dance provide basic idea behind film idea closely movie resemble book apparently base story like third one best great atmosphere dreary village everything blue gray shroud fog unsettle thought occurrence shudder every time girl say word good eating fantastic artwork still image see learn village gorgeous nevertheless first two story enjoyable first sad sweet stylishly put together lighthearted second star donald pleasance fan halloween make attempt humorous storytelling really make smile tmc link piece narration set nightclub anthology film framework tend often find weak part fo movie treat great music favorite vampire singer robertson sucker love mainly song goofy bounce terrible lyric wacky way camera single camera use film performance move robertson thing overall enthusiastic silliness whole sequence really say enjoy four song get hear often put disc view performance enjoy really price true star movie clearly enjoy every second allow spend camera first meeting carradine explanation monster genealogy lecture human truly great monster price really make tmc start finish definitely best thing whole film reason see movie watch man work price one favorite actor film certainly disappoint plus get see boogie monster dance floor final musical number play could refuse chance see folk pathfinder release tmc edition include number special feature mostly form highly interesting read material complete soundtrack film money best special feature original soundtrack album version live one hear movie really quite bit easter egg special feature menu find must say would love hear director roy ward baker commentary track one include hear pair generation x movie critic entertaining listen even without conclude say goofy fun yet horror film full great music memorable performance together enough bonus material keep busy quite movie monster club movie turn copy manage come way october 31 roll around grab copy make double feature 1970 house drip blood classic horror anthology golden age genre turn light pop popcorn get ready carry mn
19,B000G72UOQ,5,,Automotive,fit perfectly van nice big easy use cover entire windshield little light bleed outer edge otherwise near total front windshield collapse easily fold good price really happy hope last
20,B017DF6PUS,5,,Prime_Pantry,like jack link jerky like little bag child tasting really small ounce
21,B000CQ01NS,5,,Grocery_and_Gourmet_Food,keep kitty occupy good investment
22,B0006SJB24,4,,Arts_Crafts_and_Sewing,get 28mm 45mm little big small hand work well
23,B00002N5FN,4,,Tools_and_Home_Improvement,pretty much old one description tell go diy casing seal hole either punch specialty tool use drill open
24,B00AR51Y5I,4,,Gift_Cards,friend enjoy coffee
25,7155662,3,,Books,expect overall entertain worth hype
26,B000LXH0T0,5,,CDs_and_Vinyl,follow bayside music couple year album think one best far entire album awsome tell meaningful lyric intricate guitar work band put lot thought hard work album must anyone even remotely likes bayside
27,B00BXLSUF2,5,,Gift_Cards,perfect gift option person always eat
28,B0000C73CQ,5,,Electronics,work camera fine
29,B000XPO3EG,5,,Musical_Instruments,great guitar strap comfortable look good sweet sounding old martin custom one cheap guitar say think strap
30,B00E1UCFUI,5,,Tools_and_Home_Improvement,product good expect
31,B00NW4SK6W,5,,Pet_Supplies,soft warm onesie 11lb havanese dog small pretty long 14 medium fit well although dog clothes always strike something owner amuse dog really seem love fitwarm fleece outfit almost like fitwarm fleece onesie act like thundershirt seem really like way onsies hug
32,B00BUFXFA6,4,,Pet_Supplies,great product wish bird use
33,B00006IUTJ,5,11,Home_and_Kitchen,first crock pot ever love use everything stew warm cider cold winter evening also handy use pot luck etc hot dish convenient transport clean breeze removable dishwasher safe crock inset great kitchen appliance
34,B001DHLGOS,5,,Appliances,price go appliance part look elsewhere save money sooooo 30 minute tube look video show install element could save 100 buck burke
35,B013RBJR3Y,5,2,Cell_Phones_and_Accessories,boyfriend love work good
36,B017XKTHM6,3,,Prime_Pantry,kid like wo purchase healthy
37,B00EXW53LW,2,3,Luxury_Beauty,love wear makeup always try new product market try cream eyeshadow seem disappear hour hop marketplace longer lasting eyeshadow think high price might completely disappointed eyeshadow last less couple hour color beautiful go short time might want consider eyeshadow although price way recommend product last expensive thing color pretty
38,B00005N7QG,5,,Magazine_Subscriptions,another modernize standard read
39,B000067DW6,4,,Home_and_Kitchen,clog sooner state wash container occasionally water pick stale taste especially keep refrigerator
40,B00070QEDU,5,,Sports_and_Outdoors,feel great
41,B004HJNFM0,5,,Sports_and_Outdoors,best riding glove ever rid since age 7 year old
42,B00MFG57ZK,5,,Office_Products,easy set work well far print reasonably quickly little delay go deep sleep bad whirring grind 5 minute like inkjet printer get business print clean head calibrate gripe duplex printing hard figure apps print chrome
43,B00009UHJS,3,,Electronics,cut end cable find tinyground wire true shield coax work
44,B000IJ7RQ8,5,3,Magazine_Subscriptions,read entertainment weekly twenty year although go lot change basically still favorite magazine receive read sort good mix pop culture teeny tiny bit gossip interest kind wo find snooki late drama get scoop much anticipate hollywood franchise might head best thing ew coverage upcoming movie book television music stage plus interesting article business everything depth coverage tv show inside look much anticipate film long interview director thing like magazine start get web tablet meaning content magazine slowly get leaner leaner every page reminder check ew website ipad edition rest feature happy really like six eight page movie review happy four page movie review two page tiny one sentence review chart book television medium still eagerly dive every issue pop mailbox magazine start drop subscription one really consider necessary love know every movie television show cd even get release
45,B0064HMHEU,4,,Pet_Supplies,wonderful scent work 140lb great dane wish large bottle complaint seam little thick first use add little water shook well perfect
46,B00DOAYPBS,5,2,Arts_Crafts_and_Sewing,nice little pack cork sheet perfect card making small project
47,B007J3F9VG,5,,Toys_and_Games,grandson love big lug right box big green load fun play
48,B000LO4FFG,5,75,Patio_Lawn_and_Garden,great starter kit add later drip system way manage garden ensure plant get water need water need great skill install say couple hopefully helpful note first tubing easy manage warm consider let sit sun 15 minute get start instal garden glove help grip tubing hard dismantle reassemble impossible hard end little leak probably waste tubing connector ca get unconnected take time lay plan attach thing brown drip hose use water tree really well cut piece include three hole wrap around tree connect connector ring around base hook black inch tubing set hook several tree really need try water row crop like carrot beet plant every several inch would want hose get connect kit
49,630018286X,5,2,Movies_and_TV,great acting original premise great music sexy treat mature horror fan like film like american werewolf london altered state
50,B01GWLIXY0,4,,Video_Games,first big note internet connection require miss first time internet connection require game note xbox live subscription internet connection game something want move along another note move thought game pack say first offer possibility get game question whether would requirement xbox kinect use game really seem like perfect type game use kinect controller stuff promise original kinect later kinect xbox one type game idea able stand floor bending necessary lean necessary reenact motion would need skiing snowboard seem like natural occurrence bit surprise old school control scheme use controller button control game play note mean game play bad control good seem like something would lend well kinect control difficult take practice get use expect spend get comfortable place feel well play scenery various game mode make game happy collection would easily recommend others teen rating mean something fear much allow child play though always mileage may vary connect xbox live interact others system mostly prepare offensive language repeating basis like game pack lot offer reasonable amount fun factor one nice package 4 solid star reviewer gamer
51,B00LPPHHFK,5,,Cell_Phones_and_Accessories,helpful product
52,B00122IZXO,5,,Digital_Music,another great goo goo doll song
53,B000003S0W,2,,CDs_and_Vinyl,live superfans 5 star rating merely tune manzanera eno solo album also include remake beatles song kink big fan remake guy competent job enliven track nice bass playing style carp cool keyboard work never seem gel guess try relive young 70 day ok merely prog supergroup direction transatlantic lover everywhere
54,B004K0Q8LG,5,,Toys_and_Games,almost 3 5 year old love dome average height strength yet swing leg low horizontal bar pull little lift adult boost stool chair manage pretty easily utilize step mobile slide work well buy disc swing center weave top bar adjust length little concerned metal would get hot make useful tx summer far good
55,B007EA4UBY,5,,Toys_and_Games,play grandkids yet watch play wonderful time great christmas purchase
56,B018B2AN50,4,,Luxury_Beauty,really like serum strong odor go smoothly skin feel sticky use bottle suppose last two month use directed essentially cost use product like may notice slight difference feel like dramatic pricey serum know beauty anti age product expensive wonder ingredient science behind warrant cost know people search fountain youth halt age process pay anything look would recommend try see result justify cost jury still whether continue treatment use like like price
57,B00ZJRHSZO,2,2,Video_Games,think pdp design flaw need work remote fully function universal remote personally problem get remote pair work ps4 yet play apps may problem road right happy ps4 functionality universal remote device definitely leave lot desire device get work seamlessly sony dvd player go figure rca tv functionality need work correctly like input button set yet amp limitation volume button work one device tv u hurry mess soft key program amp volume way disappoint sony license product obviously test ps4 portion lot sony equipment home may work good otherwise would suggest wait version release someone else come good functioning universal device
58,B000002O4W,4,15,CDs_and_Vinyl,enough say style fashion era previous reviewer relate miami vice cut chase say thoroughly enjoy soundtrack throughout year inception back 1984 present lose freshness sense music almost classic status day soundtrack one cohesive suite work various artist genre compile jan hammer miami vice vangelis chariot fire film score glenn frey phil collins tina turner track give soundtrack much need sophisticated rock edge otherwise soundtrack would glitzy synth pop fad project couple dance tune rap track less standout artist indeed stand right chaka khan frenetic upbeat dance track night serve counterpoint rock edge track melle mel vice sample intro far impact rap would later music world next decade beyond
59,B011XYWRAW,5,,Arts_Crafts_and_Sewing,really like crimp look price much much well anywhere buy need
60,B00P5WYV6M,4,,Grocery_and_Gourmet_Food,hate new cardboard box food producer use suppose easy open get always run sissors say soup good especially wonderful either like use organic ingrediants final result still taste like campbell soup bad thing
61,B00UPRFESG,5,,Office_Products,great big shape poster thick bright great size ship quickly undamaged awesome addition homeschool classroom wall
62,B00B5134FG,5,,Industrial_and_Scientific,buy dispense mineral spirit regripping golf club finish first three set work great right size leak
63,B00XZ9P4WM,5,,Automotive,get two cut program local vw dealer hesitant inspect stamp blade verify match part number give try work new key dealer 40 109 cutting high quality button button even bit hard press sure touch clunky spin freely enough remove star though overjoy
64,B0000505IZ,5,,Home_and_Kitchen,old opener work great wife throw away old rusty still around work well anything else try replace openers day either use bad material design bad may work okay first opener however great good construction design love
65,B00007B10Y,5,,Magazine_Subscriptions,read reader digest 40 year great magazine humor information great story story short due small size easy carry purse great read love
